,City,State,Country,Update,Latitude,Longitude,Confirmed,Deaths,Recovered
368,,,Mainland China,2020-02-11 14:03:05,,,1177.0,1.0,212.0
369,,,Mainland China,2020-02-11 12:53:02,,,1117.0,0.0,270.0
370,,,Mainland China,2020-02-11 14:03:05,,,1105.0,7.0,218.0
371,,,Mainland China,2020-02-11 12:53:02,,,912.0,1.0,247.0
372,,,Mainland China,2020-02-11 09:43:02,,,860.0,4.0,105.0
373,,,Mainland China,2020-02-11 14:03:05,,,804.0,1.0,128.0
374,,,Mainland China,2020-02-11 08:13:06,,,515.0,0.0,93.0
375,,,Mainland China,2020-02-11 23:53:02,,,505.0,3.0,79.0
376,,,Mainland China,2020-02-11 11:23:04,,,487.0,1.0,80.0
377,,,Mainland China,2020-02-11 11:23:04,,,417.0,1.0,85.0
378,,,Mainland China,2020-02-11 11:23:04,,,360.0,8.0,28.0
379,,,Mainland China,2020-02-11 03:03:07,,,342.0,3.0,48.0
